Frame,Pixel Count
KNN,3497
CNT,3849
GMG,2025
MOG,498
MOG2,3439
KNN,3503
CNT,3847
GMG,2024
MOG,495
MOG2,3492
KNN,3551
CNT,3859
GMG,2001
MOG,487
MOG2,3456
KNN,3507
CNT,3824
GMG,1994
MOG,464
MOG2,3418
KNN,3493
CNT,3795
GMG,2005
MOG,472
MOG2,3411
KNN,3516
CNT,3847
GMG,1966
MOG,466
MOG2,3419
KNN,3512
CNT,3801
GMG,2027
MOG,457
MOG2,3483
KNN,3481
CNT,3822
GMG,1955
MOG,441
MOG2,3507
KNN,3556
CNT,3852
GMG,2029
MOG,432
MOG2,3535
KNN,3544
CNT,3850
GMG,2064
MOG,434
MOG2,3505
KNN,3538
CNT,3895
GMG,2063
MOG,422
MOG2,3539
KNN,3546
CNT,3911
GMG,2000
MOG,434
MOG2,3526
KNN,3543
CNT,3854
GMG,2053
MOG,424
MOG2,3504
KNN,3523
CNT,3877
GMG,2099
MOG,437
MOG2,3560
KNN,3624
CNT,3868
GMG,2141
MOG,433
MOG2,3654
KNN,3648
CNT,3930
GMG,2084
MOG,454
MOG2,3694
KNN,3665
CNT,3952
GMG,2101
MOG,443
MOG2,3668
KNN,3641
CNT,3943
GMG,2095
MOG,438
MOG2,3657
KNN,3676
CNT,3969
GMG,2114
MOG,450
MOG2,3738
KNN,3688
CNT,3972
GMG,2160
MOG,446
MOG2,3696
KNN,3675
CNT,3965
GMG,2170
MOG,439
MOG2,3666
KNN,3691
CNT,3988
GMG,2101
MOG,440
MOG2,3671
KNN,3691
CNT,3981
GMG,2168
MOG,435
MOG2,3645
KNN,3695
CNT,3976
GMG,2157
MOG,443
MOG2,3447
KNN,3630
CNT,3975
GMG,2171
MOG,449
MOG2,3399
KNN,3668
CNT,4009
GMG,2122
MOG,430
MOG2,3383
KNN,3656
CNT,4002
GMG,2098
MOG,427
MOG2,3376
KNN,3610
CNT,3974
GMG,2212
MOG,413
MOG2,3382
KNN,3634
CNT,3970
GMG,2199
MOG,434
MOG2,3457
KNN,3656
CNT,3966
GMG,2190
MOG,440
MOG2,3461
KNN,3677
CNT,3994
GMG,2225
MOG,459
MOG2,3476
KNN,3675
CNT,4041
GMG,2171
MOG,440
MOG2,3406
KNN,3651
CNT,4023
GMG,2211
MOG,461
MOG2,3414
KNN,3659
CNT,4057
GMG,2166
MOG,428
MOG2,3411
KNN,3675
CNT,4042
GMG,2216
MOG,455
MOG2,3469
KNN,3668
CNT,4053
GMG,2238
MOG,446
MOG2,3385
KNN,3609
CNT,4015
GMG,2214
MOG,446
MOG2,3349
KNN,3579
CNT,4025
GMG,2201
MOG,434
MOG2,3375
KNN,3548
CNT,4056
GMG,2220
MOG,441
MOG2,3439
KNN,3637
CNT,4066
GMG,2207
MOG,456
MOG2,3398
KNN,3597
CNT,4045
GMG,2154
MOG,465
MOG2,3414
KNN,3611
CNT,4078
GMG,2139
MOG,477
MOG2,3423
KNN,3630
CNT,4017
GMG,2222
MOG,476
MOG2,3459
KNN,3644
CNT,4036
GMG,2307
MOG,506
MOG2,3810
KNN,3816
CNT,4069
GMG,2296
MOG,515
MOG2,3910
KNN,3891
CNT,4152
GMG,2294
MOG,550
MOG2,3987
KNN,3943
CNT,4208
GMG,2324
MOG,563
MOG2,4024
KNN,3971
CNT,4240
GMG,2350
MOG,577
MOG2,4097
KNN,4008
CNT,4256
GMG,2319
MOG,568
MOG2,4162
KNN,4083
CNT,4306
GMG,2335
MOG,573
MOG2,4292
KNN,4204
CNT,4349
GMG,2387
MOG,567
MOG2,4343
KNN,4276
CNT,4426
GMG,2406
MOG,551
MOG2,4298
KNN,4247
CNT,4435
GMG,2433
MOG,570
MOG2,4442
KNN,4367
CNT,4505
GMG,2311
MOG,558
MOG2,4468
KNN,4406
CNT,4563
GMG,2378
MOG,546
MOG2,4547
KNN,4449
CNT,4683
GMG,2407
MOG,570
MOG2,4556
KNN,4457
CNT,4717
GMG,2457
MOG,558
MOG2,4603
KNN,4507
CNT,4778
GMG,2507
MOG,568
MOG2,4617
KNN,4561
CNT,4818
GMG,3845
MOG,550
MOG2,6422
KNN,5324
CNT,5154
GMG,3293
MOG,537
MOG2,6175
KNN,5132
CNT,5094
GMG,2995
MOG,581
MOG2,6453
KNN,5228
CNT,5319
GMG,2582
MOG,569
MOG2,6373
KNN,5160
CNT,5298
GMG,2524
MOG,580
MOG2,6314
KNN,5157
CNT,5345
GMG,2455
MOG,581
MOG2,6357
KNN,5215
CNT,5434
GMG,2414
MOG,572
MOG2,6510
KNN,5270
CNT,5480
GMG,2426
MOG,562
MOG2,6464
KNN,5278
CNT,5547
GMG,2412
MOG,592
MOG2,6582
KNN,5352
CNT,5651
GMG,2403
MOG,595
MOG2,6579
KNN,5384
CNT,5710
GMG,2384
MOG,607
MOG2,6601
KNN,5435
CNT,5754
GMG,2332
MOG,625
MOG2,6583
KNN,5464
CNT,5773
GMG,2315
MOG,633
MOG2,6695
KNN,5543
CNT,5843
GMG,2241
MOG,631
MOG2,6707
KNN,5530
CNT,5832
GMG,2196
MOG,685
MOG2,7021
KNN,5751
CNT,6021
GMG,2249
MOG,694
MOG2,7185
KNN,6004
CNT,6175
GMG,2270
MOG,721
MOG2,7383
KNN,6095
CNT,6275
GMG,2212
MOG,768
MOG2,7501
KNN,6249
CNT,6359
GMG,2205
MOG,778
MOG2,7558
KNN,6277
CNT,6406
GMG,2214
MOG,809
MOG2,7524
KNN,6304
CNT,6397
GMG,2191
MOG,823
MOG2,7666
KNN,6416
CNT,6542
GMG,2176
MOG,862
MOG2,7724
KNN,6493
CNT,6618
GMG,2147
MOG,909
MOG2,7988
KNN,6792
CNT,6795
GMG,2167
MOG,941
MOG2,8086
KNN,6871
CNT,6877
GMG,2198
MOG,1017
MOG2,8512
KNN,7244
CNT,7161
GMG,2178
MOG,1056
MOG2,8646
KNN,7363
CNT,7262
GMG,2137
MOG,1098
MOG2,8954
KNN,7625
CNT,7471
GMG,2164
MOG,1150
MOG2,9077
KNN,7728
CNT,7515
GMG,2214
MOG,1168
MOG2,9128
KNN,7876
CNT,7636
GMG,2186
MOG,1205
MOG2,9179
KNN,7951
CNT,7706
GMG,2225
MOG,1202
MOG2,9436
KNN,8192
CNT,7863
GMG,2253
MOG,1238
MOG2,9550
KNN,8340
CNT,8020
GMG,2233
MOG,1272
MOG2,9613
KNN,8435
CNT,8093
GMG,2193
MOG,1291
MOG2,9629
KNN,8481
CNT,8146
GMG,2270
MOG,1362
MOG2,9914
KNN,8691
CNT,8346
GMG,2287
MOG,1476
MOG2,9954
KNN,8794
CNT,8449
GMG,2280
MOG,1523
MOG2,10015
KNN,8892
CNT,8574
GMG,2285
MOG,1535
MOG2,9965
KNN,8947
CNT,8657
GMG,2217
MOG,1545
MOG2,10136
KNN,9092
CNT,8718
GMG,2242
MOG,1573
MOG2,10073
KNN,9121
CNT,8777
GMG,2314
MOG,1577
MOG2,10020
KNN,9146
CNT,8839
GMG,2353
MOG,1586
MOG2,9982
KNN,9212
CNT,8878
GMG,2440
MOG,1574
MOG2,10155
KNN,9310
CNT,8975
GMG,2437
MOG,1574
MOG2,10076
KNN,9376
CNT,9019
GMG,2429
MOG,1580
MOG2,10126
KNN,9434
CNT,9068
GMG,2530
MOG,1584
MOG2,10157
KNN,9511
CNT,9138
GMG,2490
MOG,1626
MOG2,10435
KNN,9782
CNT,9369
GMG,2438
MOG,1683
MOG2,10393
KNN,9817
CNT,9437
GMG,2493
MOG,1688
MOG2,10394
KNN,9898
CNT,9535
GMG,2481
MOG,1708
MOG2,10295
KNN,9876
CNT,9507
GMG,2544
MOG,1718
MOG2,10570
KNN,10056
CNT,9685
GMG,2603
MOG,1756
MOG2,10491
KNN,10104
CNT,9734
GMG,2602
MOG,1778
MOG2,10531
KNN,10238
CNT,9826
GMG,2567
MOG,1793
MOG2,10478
KNN,10251
CNT,9873
GMG,2594
MOG,1792
MOG2,10437
KNN,10432
CNT,10009
GMG,2624
MOG,1805
MOG2,10017
KNN,10452
CNT,10040
GMG,2640
MOG,1817
MOG2,9932
KNN,10488
CNT,10095
GMG,2627
MOG,1848
MOG2,9778
KNN,10522
CNT,10146
GMG,2646
MOG,1822
MOG2,9764
KNN,10537
CNT,10223
GMG,2617
MOG,1825
MOG2,9579
KNN,10514
CNT,10274
GMG,2695
MOG,1812
MOG2,9593
KNN,10514
CNT,10339
GMG,2666
MOG,1828
MOG2,9403
KNN,10481
CNT,10371
GMG,2719
MOG,1862
MOG2,9487
KNN,10557
CNT,10450
GMG,2734
MOG,1878
MOG2,9358
KNN,10527
CNT,10461
GMG,2659
MOG,1862
MOG2,9288
KNN,10528
CNT,10468
GMG,2705
MOG,1890
MOG2,9145
KNN,10478
CNT,10498
GMG,2676
MOG,1903
MOG2,9099
KNN,10480
CNT,10556
GMG,2753
MOG,1902
MOG2,8979
KNN,10477
CNT,10549
GMG,2744
MOG,1898
MOG2,8870
KNN,10432
CNT,10588
GMG,2761
MOG,1882
MOG2,8674
KNN,10336
CNT,10565
GMG,2812
MOG,1816
MOG2,8664
KNN,10322
CNT,10569
GMG,2792
MOG,1822
MOG2,8451
KNN,10287
CNT,10598
GMG,2688
MOG,1787
MOG2,8284
KNN,10261
CNT,10627
GMG,2637
MOG,1782
MOG2,8062
KNN,10207
CNT,10598
GMG,2721
MOG,1792
MOG2,8073
KNN,10297
CNT,10710
GMG,2772
MOG,1772
MOG2,7965
KNN,10279
CNT,10692
GMG,2785
MOG,1745
MOG2,7770
KNN,10230
CNT,10714
GMG,2848
MOG,1776
MOG2,7653
KNN,10239
CNT,10698
GMG,2835
MOG,1729
MOG2,7508
KNN,10251
CNT,10737
GMG,2720
MOG,1699
MOG2,7240
KNN,10152
CNT,10726
GMG,2720
MOG,1664
MOG2,7069
KNN,10071
CNT,10753
GMG,2662
MOG,1642
MOG2,6716
KNN,9940
CNT,10662
GMG,2698
MOG,1597
MOG2,6514
KNN,9874
CNT,10671
GMG,2714
MOG,1570
MOG2,6353
KNN,9814
CNT,10638
GMG,2650
MOG,1582
MOG2,6158
KNN,9682
CNT,10637
GMG,2596
MOG,1586
MOG2,5870
KNN,9567
CNT,10556
GMG,2464
MOG,1557
MOG2,5755
KNN,9528
CNT,10579
GMG,2444
MOG,1550
MOG2,5563
KNN,9443
CNT,10600
GMG,2309
MOG,1521
MOG2,5482
KNN,9360
CNT,10575
GMG,2342
MOG,1519
MOG2,5306
KNN,9235
CNT,10524
GMG,3002
MOG,1473
MOG2,6733
KNN,9459
CNT,10688
GMG,2852
MOG,1410
MOG2,6654
KNN,9332
CNT,10651
GMG,2605
MOG,1401
MOG2,6645
KNN,9291
CNT,10661
GMG,2313
MOG,1377
MOG2,6580
KNN,9281
CNT,10754
GMG,2223
MOG,1390
MOG2,6539
KNN,9199
CNT,10765
GMG,2258
MOG,1349
MOG2,6403
KNN,9104
CNT,10755
GMG,2191
MOG,1320
MOG2,6384
KNN,9051
CNT,10708
GMG,2233
MOG,1292
MOG2,6321
KNN,8991
CNT,10816
GMG,2149
MOG,1271
MOG2,6234
KNN,8897
CNT,10759
GMG,2128
MOG,1227
MOG2,6199
KNN,8865
CNT,10822
GMG,2172
MOG,1194
MOG2,6073
KNN,8789
CNT,10813
GMG,2132
MOG,1149
MOG2,6016
KNN,8711
CNT,10906
GMG,2142
MOG,1128
MOG2,5944
KNN,8622
CNT,10867
GMG,2036
MOG,1089
MOG2,5932
KNN,8619
CNT,10873
GMG,1962
MOG,1082
MOG2,5856
KNN,8529
CNT,10834
GMG,2070
MOG,1062
MOG2,5950
KNN,8600
CNT,10918
GMG,2024
MOG,1074
MOG2,5919
KNN,8523
CNT,10929
GMG,1995
MOG,1039
MOG2,5896
KNN,8518
CNT,10963
GMG,1912
MOG,1030
MOG2,5813
KNN,8425
CNT,10953
GMG,1976
MOG,997
MOG2,5891
KNN,8355
CNT,11020
GMG,2037
MOG,978
MOG2,5810
KNN,8329
CNT,11046
GMG,2037
MOG,902
MOG2,5732
KNN,8309
CNT,11118
GMG,2023
MOG,899
MOG2,5677
KNN,8193
CNT,11104
GMG,2075
MOG,882
MOG2,5725
KNN,8189
CNT,11237
GMG,2121
MOG,903
MOG2,5730
KNN,8143
CNT,11278
GMG,2116
MOG,897
MOG2,5833
KNN,8095
CNT,11330
GMG,2124
MOG,904
MOG2,5805
KNN,7994
CNT,11319
GMG,2060
MOG,885
MOG2,5893
KNN,8035
CNT,11392
GMG,2078
MOG,932
MOG2,5852
KNN,7974
CNT,11489
GMG,2069
MOG,931
MOG2,5906
KNN,7958
CNT,11541
GMG,2047
MOG,970
MOG2,6140
KNN,8011
CNT,11583
GMG,2102
MOG,960
MOG2,6101
KNN,7976
CNT,11596
GMG,2091
MOG,974
MOG2,6090
KNN,7941
CNT,11628
GMG,2114
MOG,954
MOG2,6007
KNN,7891
CNT,11629
GMG,2192
MOG,947
MOG2,6011
KNN,7814
CNT,11749
GMG,2165
MOG,935
MOG2,5919
KNN,7714
CNT,11724
GMG,2224
MOG,963
MOG2,5948
KNN,7704
CNT,11861
GMG,2151
MOG,957
MOG2,5873
KNN,7656
CNT,11852
GMG,2218
MOG,957
MOG2,5961
KNN,7673
CNT,11973
GMG,2229
MOG,990
MOG2,5887
KNN,7638
CNT,12039
GMG,2233
MOG,957
MOG2,5879
KNN,7598
CNT,12032
GMG,2285
MOG,964
MOG2,5817
KNN,7555
CNT,12021
GMG,2250
MOG,954
MOG2,5870
KNN,7513
CNT,12116
GMG,2292
MOG,960
MOG2,5773
KNN,7446
CNT,12094
GMG,2288
MOG,951
MOG2,5755
KNN,7362
CNT,12120
GMG,2357
MOG,950
MOG2,5776
KNN,7321
CNT,12113
GMG,2344
MOG,953
MOG2,5954
KNN,7440
CNT,12281
GMG,2371
MOG,953
MOG2,5909
KNN,7370
CNT,12315
GMG,2304
MOG,952
MOG2,5917
KNN,7357
CNT,12330
GMG,2323
MOG,941
MOG2,5837
KNN,7270
CNT,12335
GMG,2411
MOG,944
MOG2,5854
KNN,7266
CNT,12399
GMG,2420
MOG,922
MOG2,5825
KNN,7240
CNT,12408
GMG,2473
MOG,914
MOG2,5852
KNN,7207
CNT,12445
GMG,2436
MOG,955
MOG2,5800
KNN,7195
CNT,12506
GMG,2424
MOG,943
MOG2,5636
KNN,7185
CNT,12588
GMG,2467
MOG,940
MOG2,5391
KNN,7124
CNT,12587
GMG,2572
MOG,907
MOG2,5373
KNN,7197
CNT,12710
GMG,2509
MOG,909
MOG2,5450
KNN,7215
CNT,12753
GMG,2524
MOG,909
MOG2,5382
KNN,7190
CNT,12747
GMG,2532
MOG,926
MOG2,5393
KNN,7188
CNT,12764
GMG,2591
MOG,934
MOG2,5346
KNN,7216
CNT,12893
GMG,2632
MOG,988
MOG2,5412
KNN,7186
CNT,12922
GMG,2596
MOG,1002
MOG2,5415
KNN,7228
CNT,12963
GMG,2700
MOG,1013
MOG2,5486
KNN,7196
CNT,12995
GMG,2792
MOG,1043
MOG2,5524
KNN,7216
CNT,13114
GMG,2867
MOG,1040
MOG2,5560
KNN,7259
CNT,13160
GMG,2968
MOG,1086
MOG2,5677
KNN,7366
CNT,13268
GMG,2931
MOG,1157
MOG2,5734
KNN,7404
CNT,13292
GMG,3097
MOG,1188
MOG2,5858
KNN,7486
CNT,13465
GMG,3085
MOG,1218
MOG2,5915
KNN,7493
CNT,13544
GMG,3102
MOG,1262
MOG2,5973
KNN,7584
CNT,13589
GMG,3163
MOG,1331
MOG2,5968
KNN,7582
CNT,13662
GMG,3275
MOG,1353
MOG2,6064
KNN,7652
CNT,13826
GMG,3350
MOG,1369
MOG2,5989
KNN,7603
CNT,13801
GMG,3413
MOG,1433
MOG2,6094
KNN,7664
CNT,13972
GMG,3426
MOG,1502
MOG2,6204
KNN,7752
CNT,13966
GMG,3550
MOG,1550
MOG2,6240
KNN,7829
CNT,14004
GMG,3694
MOG,1571
MOG2,6249
KNN,7850
CNT,14025
GMG,3641
MOG,1615
MOG2,6234
KNN,7793
CNT,14078
GMG,3745
MOG,1660
MOG2,6281
KNN,7874
CNT,14120
GMG,3773
MOG,1704
MOG2,6324
KNN,7958
CNT,14237
GMG,3952
MOG,1773
MOG2,6397
KNN,7996
CNT,14396
GMG,4024
MOG,1816
MOG2,6443
KNN,8082
CNT,14453
GMG,4006
MOG,1915
MOG2,6559
KNN,8183
CNT,14595
GMG,4066
MOG,1970
MOG2,6595
KNN,8264
CNT,14670
GMG,4086
MOG,1968
MOG2,6660
KNN,8317
CNT,14749
GMG,4161
MOG,2033
MOG2,6633
KNN,8331
CNT,14718
GMG,4229
MOG,2035
MOG2,6697
KNN,8413
CNT,14799
GMG,4278
MOG,2078
MOG2,6784
KNN,8490
CNT,14933
GMG,4368
MOG,2095
MOG2,6785
KNN,8497
CNT,14965
GMG,5471
MOG,2109
MOG2,8048
KNN,9154
CNT,15338
GMG,5013
MOG,2123
MOG2,8061
KNN,9142
CNT,15381
GMG,4686
MOG,2131
MOG2,8102
KNN,9172
CNT,15403
GMG,4586
MOG,2171
MOG2,8090
KNN,9214
CNT,15445
GMG,4616
MOG,2162
MOG2,8027
KNN,9219
CNT,15446
GMG,4618
MOG,2175
MOG2,8040
KNN,9209
CNT,15430
GMG,4641
MOG,2197
MOG2,7958
KNN,9229
CNT,15399
GMG,4659
MOG,2194
MOG2,7933
KNN,9178
CNT,15481
GMG,4690
MOG,2227
MOG2,7952
KNN,9186
CNT,15475
GMG,4789
MOG,2213
MOG2,8008
KNN,9248
CNT,15601
GMG,4725
MOG,2238
MOG2,8052
KNN,9309
CNT,15666
GMG,4777
MOG,2221
MOG2,8045
KNN,9299
CNT,15633
GMG,4826
MOG,2225
MOG2,8114
KNN,9335
CNT,15677
GMG,4823
MOG,2195
MOG2,8047
KNN,9301
CNT,15666
GMG,4760
MOG,2222
MOG2,8044
KNN,9251
CNT,15700
GMG,4611
MOG,2161
MOG2,8139
KNN,9310
CNT,15745
GMG,4704
MOG,2108
MOG2,8064
KNN,9295
CNT,15657
GMG,4674
MOG,2065
MOG2,8041
KNN,9294
CNT,15707
GMG,4502
MOG,2069
MOG2,7968
KNN,9184
CNT,15650
GMG,4440
MOG,2019
MOG2,8000
KNN,9166
CNT,15701
GMG,4472
MOG,1993
MOG2,7884
KNN,9100
CNT,15704
GMG,4375
MOG,2014
MOG2,7940
KNN,9167
CNT,15793
GMG,4286
MOG,2013
MOG2,7897
KNN,9184
CNT,15788
GMG,4184
MOG,2032
MOG2,7879
KNN,9190
CNT,15836
GMG,4221
MOG,2030
MOG2,7830
KNN,9127
CNT,15862
GMG,4191
MOG,2035
MOG2,7759
KNN,9069
CNT,15855
GMG,4070
MOG,2030
MOG2,7635
KNN,8952
CNT,15784
GMG,4072
MOG,2017
MOG2,7644
KNN,8943
CNT,15804
GMG,4020
MOG,2003
MOG2,7532
KNN,8878
CNT,15786
GMG,4049
MOG,2024
MOG2,7434
KNN,8788
CNT,15809
GMG,4119
MOG,1983
MOG2,7637
KNN,8986
CNT,15848
GMG,4107
MOG,1960
MOG2,7497
KNN,8883
CNT,15860
GMG,4018
MOG,1949
MOG2,7431
KNN,8872
CNT,15834
GMG,4053
MOG,1974
MOG2,7365
KNN,8837
CNT,15912
GMG,3956
MOG,2020
MOG2,7273
KNN,8776
CNT,15839
GMG,3993
MOG,2057
MOG2,7304
KNN,8777
CNT,15950
GMG,3981
MOG,2042
MOG2,7266
KNN,8803
CNT,15973
GMG,4040
MOG,2015
MOG2,7262
KNN,8782
CNT,16013
GMG,4058
MOG,2060
MOG2,7242
KNN,8764
CNT,16035
GMG,4126
MOG,2069
MOG2,7226
KNN,8710
CNT,16046
GMG,4047
MOG,2099
MOG2,7189
KNN,8674
CNT,16060
GMG,4007
MOG,2094
MOG2,7219
KNN,8706
CNT,16081
GMG,3959
MOG,2119
MOG2,7087
KNN,8618
CNT,15978
GMG,4033
MOG,2154
MOG2,7048
KNN,8566
CNT,16046
GMG,3969
MOG,2142
MOG2,6947
KNN,8467
CNT,15963
GMG,4062
MOG,2166
MOG2,7083
KNN,8566
CNT,15979
GMG,4001
MOG,2113
MOG2,7141
KNN,8611
CNT,15859
GMG,3947
MOG,2138
MOG2,7020
KNN,8508
CNT,16005
GMG,3943
MOG,2172
MOG2,7005
KNN,8483
CNT,16006
GMG,3927
MOG,2207
MOG2,7006
KNN,8452
CNT,16092
GMG,3919
MOG,2177
MOG2,7023
KNN,8463
CNT,16064
GMG,4064
MOG,2193
MOG2,7066
KNN,8539
CNT,16224
GMG,4042
MOG,2303
MOG2,7085
KNN,8549
CNT,16298
GMG,4077
MOG,2300
MOG2,7042
KNN,8580
CNT,16312
GMG,4063
MOG,2338
MOG2,6886
KNN,8541
CNT,16265
GMG,4081
MOG,2276
MOG2,6850
KNN,8557
CNT,16259
GMG,4046
MOG,2228
MOG2,6778
KNN,8489
CNT,16273
GMG,4053
MOG,2172
MOG2,6707
KNN,8435
CNT,16187
GMG,3915
MOG,2199
MOG2,6615
KNN,8402
CNT,16122
GMG,3946
MOG,2194
MOG2,6678
KNN,8447
CNT,16249
GMG,3929
MOG,2140
MOG2,6836
KNN,8531
CNT,16144
GMG,3898
MOG,2199
MOG2,6803
KNN,8488
CNT,16190
GMG,3845
MOG,2117
MOG2,6700
KNN,8387
CNT,16112
GMG,3758
MOG,2108
MOG2,6714
KNN,8367
CNT,16146
GMG,3826
MOG,2084
MOG2,6663
KNN,8300
CNT,16113
GMG,3784
MOG,2040
MOG2,6631
KNN,8297
CNT,16065
GMG,3689
MOG,2002
MOG2,6569
KNN,8216
CNT,16014
GMG,3690
MOG,2043
MOG2,6641
KNN,8299
CNT,16155
GMG,3643
MOG,2033
MOG2,6628
KNN,8260
CNT,16115
GMG,3603
MOG,2030
MOG2,6693
KNN,8308
CNT,16164
GMG,3624
MOG,2036
MOG2,6706
KNN,8314
CNT,16087
GMG,3612
MOG,1992
MOG2,6675
KNN,8343
CNT,16153
GMG,3576
MOG,1925
MOG2,6589
KNN,8225
CNT,16056
GMG,3574
MOG,1901
MOG2,6474
KNN,8106
CNT,16053
GMG,3414
MOG,1856
MOG2,6400
KNN,8062
CNT,16009
GMG,3447
MOG,1812
MOG2,6526
KNN,8065
CNT,16023
GMG,3457
MOG,1749
MOG2,6485
KNN,8012
CNT,16006
GMG,3409
MOG,1617
MOG2,6327
KNN,7869
CNT,15941
GMG,3358
MOG,1609
MOG2,6220
KNN,7788
CNT,15879
GMG,3341
MOG,1532
MOG2,6142
KNN,7719
CNT,15922
GMG,3240
MOG,1504
MOG2,6019
KNN,7572
CNT,15893
GMG,3150
MOG,1460
MOG2,5908
KNN,7462
CNT,15889
GMG,3135
MOG,1432
MOG2,5868
KNN,7407
CNT,15814
GMG,3159
MOG,1399
MOG2,5802
KNN,7344
CNT,15865
GMG,3023
MOG,1368
MOG2,5722
KNN,7264
CNT,15831
GMG,2949
MOG,1334
MOG2,5674
KNN,7185
CNT,15784
GMG,2961
MOG,1326
MOG2,5620
KNN,7125
CNT,15783
GMG,3039
MOG,1355
MOG2,5554
KNN,7077
CNT,15783
GMG,3054
MOG,1349
MOG2,5579
KNN,7101
CNT,15836
GMG,3074
MOG,1383
MOG2,5597
KNN,7125
CNT,15766
GMG,4547
MOG,1414
MOG2,6666
KNN,7619
CNT,16166
GMG,3985
MOG,1460
MOG2,6633
KNN,7634
CNT,16191
GMG,3488
MOG,1514
MOG2,6707
KNN,7636
CNT,16238
GMG,3237
MOG,1532
MOG2,6660
KNN,7546
CNT,16241
GMG,3296
MOG,1548
MOG2,6679
KNN,7581
CNT,16246
GMG,3345
MOG,1592
MOG2,6730
KNN,7637
CNT,16315
GMG,3451
MOG,1620
MOG2,6640
KNN,7561
CNT,16279
GMG,3615
MOG,1699
MOG2,6609
KNN,7478
CNT,16336
GMG,3669
MOG,1709
MOG2,6693
KNN,7527
CNT,16388
GMG,3768
MOG,1757
MOG2,6659
KNN,7558
CNT,16264
GMG,3897
MOG,1768
MOG2,6693
KNN,7604
CNT,16347
GMG,3997
MOG,1804
MOG2,6686
KNN,7614
CNT,16306
GMG,4028
MOG,1825
MOG2,6601
KNN,7565
CNT,16377
GMG,4071
MOG,1878
MOG2,6614
KNN,7607
CNT,16346
GMG,4119
MOG,1869
MOG2,6569
KNN,7518
CNT,16432
GMG,4258
MOG,1914
MOG2,6663
KNN,7597
CNT,16412
GMG,4223
MOG,1921
MOG2,6596
KNN,7608
CNT,16596
GMG,4249
MOG,1861
MOG2,6522
KNN,7563
CNT,16548
GMG,4203
MOG,1887
MOG2,6526
KNN,7507
CNT,16675
GMG,4267
MOG,1910
MOG2,6536
KNN,7490
CNT,16731
GMG,4310
MOG,1959
MOG2,6576
KNN,7505
CNT,16874
GMG,4353
MOG,1973
MOG2,6478
KNN,7441
CNT,16838
GMG,4413
MOG,1895
MOG2,6335
KNN,7333
CNT,16868
GMG,4415
MOG,1917
MOG2,6312
KNN,7293
CNT,16954
GMG,4452
MOG,1925
MOG2,6264
KNN,7254
CNT,17003
GMG,4456
MOG,1919
MOG2,6181
KNN,7206
CNT,16901
GMG,4430
MOG,1851
MOG2,6085
KNN,7038
CNT,16971
GMG,4356
MOG,1810
MOG2,6016
KNN,7013
CNT,16903
GMG,4335
MOG,1806
MOG2,6028
KNN,6948
CNT,16923
GMG,4349
MOG,1798
MOG2,5990
KNN,6918
CNT,16881
GMG,4317
MOG,1774
MOG2,5950
KNN,6862
CNT,16945
GMG,4344
MOG,1749
MOG2,5861
KNN,6852
CNT,16918
GMG,4381
MOG,1710
MOG2,5773
KNN,6786
CNT,16936
GMG,4279
MOG,1694
MOG2,5675
KNN,6730
CNT,16887
GMG,4293
MOG,1646
MOG2,5682
KNN,6701
CNT,16954
GMG,4232
MOG,1624
MOG2,5592
KNN,6671
CNT,16966
GMG,4287
MOG,1618
MOG2,5570
KNN,6634
CNT,17030
GMG,4300
MOG,1574
MOG2,5528
KNN,6594
CNT,17000
GMG,4332
MOG,1571
MOG2,5473
KNN,6582
CNT,17147
GMG,4219
MOG,1542
MOG2,5332
KNN,6475
CNT,17077
GMG,4274
MOG,1560
MOG2,5306
KNN,6450
CNT,17097
GMG,4196
MOG,1540
MOG2,5237
KNN,6419
CNT,17087
GMG,4127
MOG,1494
MOG2,5104
KNN,6309
CNT,17126
GMG,4128
MOG,1496
MOG2,4975
KNN,6186
CNT,17011
GMG,4093
MOG,1487
MOG2,4960
KNN,6148
CNT,17066
GMG,4043
MOG,1462
MOG2,4927
KNN,6089
CNT,16932
GMG,4028
MOG,1432
MOG2,4729
KNN,5911
CNT,16999
GMG,3921
MOG,1388
MOG2,4659
KNN,5875
CNT,16961
GMG,3935
MOG,1391
MOG2,4585
KNN,5784
CNT,16956
GMG,3881
MOG,1350
MOG2,4549
KNN,5719
CNT,16909
GMG,3876
MOG,1321
MOG2,4472
KNN,5679
CNT,16966
GMG,3881
MOG,1307
MOG2,4474
KNN,5602
CNT,16923
GMG,3953
MOG,1261
MOG2,4487
KNN,5608
CNT,16967
GMG,3855
MOG,1246
MOG2,4365
KNN,5543
CNT,16920
GMG,3878
MOG,1221
MOG2,4161
KNN,5487
CNT,16975
GMG,3852
MOG,1220
MOG2,4135
KNN,5448
CNT,17002
GMG,3824
MOG,1182
MOG2,4045
KNN,5366
CNT,16986
GMG,3793
MOG,1263
MOG2,4042
KNN,5378
CNT,16925
GMG,3763
MOG,1227
MOG2,4060
KNN,5359
CNT,17030
GMG,3701
MOG,1211
MOG2,4015
KNN,5335
CNT,16982
GMG,3650
MOG,1209
MOG2,4190
KNN,5470
CNT,16954
GMG,3628
MOG,1196
MOG2,4131
KNN,5407
CNT,16942
GMG,3615
MOG,1219
MOG2,4069
KNN,5341
CNT,17113
GMG,3545
MOG,1140
MOG2,3973
